customerID,gender,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
5299-RULOA,Female,Yes,Yes,10,Yes,Fiber optic,Month-to-month,100.25,1064.65,Yes
8402-OOOHJ,Female,No,No,41,Yes,No,Two year,20.65,835.15,No
9445-ZUEQE,Male,Yes,Yes,27,Yes,Fiber optic,Month-to-month,85.2,2151.6,No
1091-SOZGA,Female,Yes,Yes,56,Yes,Fiber optic,One year,99.8,5515.45,No
2928-HLDBA,Female,No,No,6,Yes,No,Month-to-month,20.7,112.75,No
0404-SWRVG,Male,No,No,3,Yes,Fiber optic,Month-to-month,74.4,229.55,Yes
6497-TILVL,Female,Yes,Yes,7,Yes,DSL,Month-to-month,50.7,350.35,No
7219-TLZHO,Female,Yes,Yes,4,Yes,No,Month-to-month,20.85,62.9,No
4622-YNKIJ,Male,No,No,33,Yes,Fiber optic,Two year,88.95,3027.65,No
4412-YLTKF,Female,No,No,27,Yes,Fiber optic,Month-to-month,78.05,2135.5,Yes
6734-PSBAW,Male,Yes,No,72,Yes,No,Two year,23.55,1723.95,No
3930-ZGWVE,Male,No,No,1,Yes,No,Month-to-month,19.75,19.75,No
2639-UGMAZ,Male,No,No,71,No,DSL,One year,56.45,3985.35,No
2876-GZYZC,Female,No,No,13,Yes,Fiber optic,Month-to-month,85.95,1215.65,No
6207-WIOLX,Female,Yes,Yes,25,No,DSL,Month-to-month,58.6,1502.65,Yes
8587-XYZSF,Male,No,No,67,Yes,DSL,Two year,50.55,3260.1,No
3091-FYHKI,Male,No,No,1,No,DSL,Month-to-month,35.45,35.45,Yes
2372-HWUHI,Male,No,No,2,Yes,DSL,Month-to-month,44.35,81.25,Yes
7799-LGRDP,Female,No,No,43,Yes,No,Two year,25.7,1188.2,No
7850-VWJUU,Female,No,No,23,Yes,Fiber optic,Month-to-month,75,1778.5,No
3774-VBNXY,Female,Yes,Yes,64,Yes,No,Two year,20.2,1277.75,No
6217-KDYWC,Male,No,Yes,57,Yes,No,Two year,19.6,1170.55,No
0390-DCFDQ,Female,Yes,No,1,Yes,Fiber optic,Month-to-month,70.45,70.45,Yes
3146-MSEGF,Female,Yes,Yes,72,Yes,DSL,Two year,88.05,6425.65,No
4080-OGPJL,Female,No,No,8,Yes,DSL,Month-to-month,71.15,563.65,Yes
1095-WGNGG,Female,Yes,No,61,Yes,Fiber optic,Two year,101.05,5971.25,No
2636-SJDOU,Male,No,No,64,Yes,Fiber optic,One year,84.3,5289.05,No
1131-QQZEB,Male,Yes,No,71,Yes,No,Two year,23.95,1756.2,No
5716-EZXZN,Female,Yes,Yes,65,Yes,Fiber optic,Two year,99.05,6416.7,No
6837-BJYDQ,Male,No,No,3,Yes,No,One year,19.6,61.35,No
2135-RXIHG,Male,No,No,1,Yes,DSL,Month-to-month,45.65,45.65,Yes
6440-DKQGE,Male,No,Yes,30,Yes,DSL,One year,64.5,1929.95,No
3466-BYAVD,Male,Yes,Yes,15,Yes,DSL,Month-to-month,69.5,1071.4,No
3780-YVMFA,Female,Yes,Yes,8,Yes,DSL,Month-to-month,68.55,564.35,No
3874-EQOEP,Male,No,No,7,Yes,Fiber optic,Month-to-month,95,655.5,Yes
1679-JRFBR,Female,Yes,Yes,70,Yes,Fiber optic,One year,108.15,7930.55,No
9073-ZZIAY,Male,Yes,Yes,62,Yes,DSL,Two year,86.1,5215.25,No
3077-RSNTJ,Female,Yes,Yes,6,Yes,No,Month-to-month,19.7,113.5,No
6551-GNYDG,Female,Yes,Yes,14,Yes,Fiber optic,Month-to-month,80.9,1152.8,No
9167-APMXZ,Female,No,No,22,Yes,Fiber optic,Month-to-month,84.15,1821.95,No
2749-CTKAJ,Male,Yes,Yes,22,Yes,No,One year,20.15,419.9,No
6371-NZYEG,Male,Yes,Yes,16,Yes,DSL,Two year,64.25,1024,No
7554-NEWDD,Male,No,No,10,Yes,No,Two year,25.7,251.6,No
8992-VONJD,Female,No,Yes,13,Yes,DSL,Month-to-month,56,764.55,No
0867-MKZVY,Female,Yes,No,20,Yes,Fiber optic,Month-to-month,82.4,1592.35,Yes
4482-EWFMI,Female,No,No,2,Yes,Fiber optic,Month-to-month,69.7,135.2,No
4648-YPBTM,Male,No,No,53,Yes,DSL,Two year,73.9,3958.25,No
2907-ILJBN,Female,Yes,Yes,11,Yes,No,One year,20.6,233.9,No
6345-FZOQH,Male,Yes,No,69,Yes,No,Two year,19.9,1363.45,No
3376-BMGFE,Female,No,No,4,Yes,Fiber optic,Month-to-month,70.9,273,Yes
5997-OPVFA,Male,Yes,No,72,Yes,DSL,Two year,89.05,6254.45,No
3445-HXXGF,Male,Yes,No,58,No,DSL,Month-to-month,45.3,2651.2,Yes
1159-WFSGR,Female,Yes,Yes,16,Yes,No,Month-to-month,20.4,321.4,No
7654-YWJUF,Male,Yes,No,43,Yes,Fiber optic,One year,84.25,3539.25,No
1875-QIVME,Female,Yes,No,2,Yes,Fiber optic,Month-to-month,104.4,242.8,Yes
6727-IOTLZ,Male,Yes,No,14,Yes,DSL,Two year,81.95,1181.75,No
0691-JVSYA,Female,Yes,No,53,Yes,Fiber optic,One year,94.85,5000.2,Yes
5918-VUKWP,Female,No,No,32,Yes,No,One year,20.55,654.55,No
1744-JHKYS,Female,Yes,No,34,Yes,No,Month-to-month,24.7,780.2,No
2656-FMOKZ,Female,No,No,15,Yes,Fiber optic,Month-to-month,74.45,1145.7,Yes
2070-FNEXE,Female,No,No,7,Yes,Fiber optic,Month-to-month,76.45,503.6,Yes
5947-SGKCL,Female,Yes,Yes,15,Yes,Fiber optic,Month-to-month,105.35,1559.25,No
3712-PKXZA,Male,Yes,No,61,Yes,No,One year,20.55,1252,No
6317-YPKDH,Female,No,No,1,No,DSL,Month-to-month,29.95,29.95,Yes
6582-OIVSP,Female,No,No,1,Yes,DSL,Month-to-month,45.3,45.3,No
9367-WXLCH,Male,No,No,8,Yes,Fiber optic,Month-to-month,84.5,662.65,Yes
5524-KHNJP,Male,Yes,Yes,33,Yes,DSL,One year,74.75,2453.3,No
1918-ZBFQJ,Female,No,No,13,Yes,Fiber optic,Month-to-month,79.25,1111.65,Yes
1024-GUALD,Female,Yes,No,1,No,DSL,Month-to-month,24.8,24.8,Yes
4827-USJHP,Male,No,No,20,Yes,DSL,Month-to-month,51.8,1023.85,No
8167-GJLRN,Male,No,No,3,No,DSL,Month-to-month,30.4,82.15,No
0956-SYCWG,Female,No,No,13,Yes,No,One year,19.65,244.8,No
8017-UVSZU,Female,Yes,No,40,Yes,DSL,Month-to-month,56.6,2379.1,No
7100-FQPRV,Male,Yes,Yes,43,Yes,DSL,One year,71.9,3173.35,No
2472-OVKUP,Male,Yes,No,6,Yes,Fiber optic,Month-to-month,91,531,Yes
2984-RGEYA,Female,Yes,Yes,69,Yes,No,Two year,19.75,1375.4,No
9680-NIAUV,Female,Yes,Yes,72,Yes,Fiber optic,Two year,109.7,8129.3,No
2146-EGVDT,Male,Yes,Yes,59,Yes,No,Two year,19.3,1192.7,No
2604-IJPDU,Female,Yes,No,20,Yes,Fiber optic,Month-to-month,96.55,1901.65,No
9178-JHUVJ,Male,Yes,Yes,24,Yes,No,Two year,24.1,587.4,No
6168-YBYNP,Male,No,No,59,Yes,Fiber optic,Month-to-month,111.35,6519.75,No
7255-SSFBC,Male,Yes,Yes,72,Yes,Fiber optic,Two year,112.25,8041.65,No
3645-DEYGF,Male,No,Yes,1,Yes,No,Month-to-month,20.75,20.75,No
9323-HGFWY,Female,Yes,No,27,Yes,Fiber optic,One year,101.9,2681.15,No
8544-GOQSH,Female,No,No,14,Yes,Fiber optic,Month-to-month,80.05,1112.3,No
3363-DTIVD,Male,Yes,Yes,71,Yes,Fiber optic,Two year,105.55,7405.5,No
7018-WBJNK,Male,No,Yes,13,Yes,Fiber optic,Month-to-month,78.3,1033.95,No
9142-KZXOP,Male,No,No,44,Yes,Fiber optic,Month-to-month,68.85,2958.95,No
7674-YTAFD,Female,No,No,33,Yes,Fiber optic,One year,79.95,2684.85,No
6348-SNFUS,Male,Yes,Yes,72,No,DSL,Two year,55.45,4179.2,No
1285-OKIPP,Male,No,No,1,Yes,Fiber optic,Month-to-month,79.9,79.9,Yes
7825-ECJRF,Female,No,No,19,Yes,Fiber optic,Month-to-month,106.6,1934.45,Yes
1347-KTTTA,Male,Yes,No,64,Yes,Fiber optic,One year,102.45,6654.1,No
7841-TZDMQ,Male,No,No,2,Yes,DSL,Month-to-month,46,84.5,Yes
4195-NZGTA,Female,No,No,1,No,DSL,Month-to-month,25.25,25.25,No
7157-SMCFK,Male,No,Yes,61,Yes,No,Two year,19.75,1124.2,No
4709-LKHYG,Female,Yes,Yes,29,Yes,No,One year,20,540.05,No
2504-DSHIH,Male,Yes,No,23,Yes,Fiber optic,Month-to-month,86.8,1975.85,No
0699-NDKJM,Female,Yes,No,57,No,DSL,Month-to-month,58.75,3437.45,No
9286-BHDQG,Male,Yes,Yes,72,No,DSL,Two year,45.25,3139.8,No
0230-WEQUW,Male,Yes,No,66,No,DSL,Two year,56.6,3789.2,No
2040-LDIWQ,Male,Yes,Yes,65,Yes,DSL,Two year,84.2,5324.5,No
6496-JDSSB,Female,No,No,8,Yes,Fiber optic,Month-to-month,80,624.6,No
9408-SSNVZ,Female,No,No,4,Yes,Fiber optic,Month-to-month,70.15,268.35,Yes
4443-EMBNA,Female,Yes,No,71,Yes,No,Two year,24.75,1836.9,No
6469-MRVET,Male,Yes,Yes,1,Yes,No,One year,20.2,20.2,No
0742-MOABM,Male,Yes,No,4,Yes,DSL,Month-to-month,50.05,179.35,Yes
5961-VUSRV,Female,No,No,12,Yes,No,One year,19.35,219.35,No
6778-JFCMK,Male,No,No,24,No,DSL,One year,50.6,1288.75,No
6341-JVQGF,Female,Yes,Yes,31,Yes,DSL,One year,81.15,2545.75,No
2232-DMLXU,Female,Yes,No,1,Yes,DSL,Month-to-month,55.2,55.2,Yes
4811-JBUVU,Male,No,No,30,Yes,Fiber optic,Month-to-month,89.9,2723.15,No
0945-TSONX,Female,Yes,Yes,47,Yes,DSL,Two year,85.3,4107.25,No
2651-ZCBXV,Male,No,No,54,Yes,Fiber optic,Two year,108,5760.65,No
3316-UWXUY,Male,No,No,50,Yes,Fiber optic,Month-to-month,93.5,4747.5,No
8937-RDTHP,Male,No,No,1,Yes,Fiber optic,Month-to-month,84.6,84.6,Yes
7083-MIOPC,Female,No,No,72,Yes,No,Two year,20.25,1566.9,No
1984-GPTEH,Female,No,No,29,Yes,No,Month-to-month,25.15,702,No
1251-KRREG,Male,No,No,2,Yes,DSL,Month-to-month,54.4,114.1,Yes
0621-JFHOL,Female,No,No,10,No,DSL,Two year,29.6,299.05,No
9903-LYSAB,Male,Yes,No,18,Yes,Fiber optic,Month-to-month,73.15,1305.95,No
0094-OIFMO,Female,No,No,11,Yes,Fiber optic,Month-to-month,95,1120.3,Yes
9227-UAQFT,Male,No,No,16,Yes,No,Two year,19.75,284.35,No
7301-ABVAD,Female,No,No,72,Yes,DSL,Two year,86.6,6350.5,No
6614-FHDBO,Male,No,No,72,Yes,Fiber optic,Two year,109.2,7878.3,No
7576-ASEJU,Female,Yes,Yes,41,Yes,DSL,One year,74.7,3187.65,No
9058-HRZSV,Female,Yes,No,65,Yes,Fiber optic,Month-to-month,94.4,6126.15,No
4522-AKYLR,Female,No,No,13,Yes,DSL,Month-to-month,54.8,731.3,No
0221-WMXNQ,Male,No,No,4,Yes,Fiber optic,Month-to-month,75.35,273.4,No
0303-UNCIP,Male,No,No,41,Yes,DSL,One year,65,2531.8,No
9947-OTFQU,Male,No,No,15,Yes,Fiber optic,Month-to-month,74.4,1074.3,Yes
0322-YINQP,Male,No,No,1,Yes,DSL,Month-to-month,48.55,48.55,Yes
0959-WHOKV,Male,No,No,42,Yes,Fiber optic,One year,99,4298.45,No
4075-JFPGR,Female,Yes,No,51,Yes,Fiber optic,One year,93.5,4619.55,No
4629-NRXKX,Female,Yes,Yes,2,Yes,Fiber optic,Month-to-month,70.4,147.15,Yes
9514-JDSKI,Male,Yes,No,1,No,DSL,Month-to-month,40.2,40.2,Yes
3282-ZISZV,Male,No,Yes,32,Yes,DSL,One year,83.7,2633.3,No
3675-YDUPJ,Male,No,No,10,Yes,No,Month-to-month,19.85,193.05,No
4111-BNXIF,Female,Yes,Yes,67,No,DSL,Two year,59.55,4103.9,No
7017-VFHAY,Female,Yes,Yes,61,Yes,Fiber optic,Two year,115.1,7008.15,No
6655-LHBYW,Male,No,No,50,Yes,Fiber optic,One year,114.35,5791.1,No
4959-JOSRX,Female,Yes,No,2,Yes,DSL,Month-to-month,44.6,80.55,Yes
5046-NUHWD,Female,Yes,No,29,No,DSL,Month-to-month,45,1228.65,No
7273-TEFQD,Male,No,No,3,No,DSL,Month-to-month,41.15,132.2,Yes
3606-TWKGI,Male,No,No,13,Yes,Fiber optic,Month-to-month,106.9,1364.3,Yes
7529-ZDFXI,Male,Yes,No,57,Yes,Fiber optic,Month-to-month,89.85,4925.35,No
7605-BDWDC,Female,No,No,31,No,DSL,Two year,49.85,1520.1,No
1950-KSVVJ,Female,Yes,No,45,Yes,Fiber optic,One year,113.3,5032.25,No
0123-CRBRT,Female,Yes,Yes,61,Yes,DSL,Two year,88.1,5526.75,No
6292-TOSSS,Male,No,No,50,Yes,No,Two year,24.9,1195.25,No
3197-ARFOY,Female,No,No,19,Yes,Fiber optic,Month-to-month,105,2007.25,No
6323-AYBRX,Male,No,No,59,Yes,No,Two year,19.35,1099.6,Yes
7014-ZZXAW,Female,Yes,No,71,Yes,No,Two year,24.25,1732.95,No
4385-GZQXV,Female,No,No,16,Yes,Fiber optic,Month-to-month,94.45,1511.2,Yes
7633-MVPUY,Male,Yes,No,57,Yes,DSL,Two year,59.75,3450.15,No
6366-ZGQGL,Male,No,No,1,No,DSL,Month-to-month,24.8,24.8,Yes
4716-HHKQH,Male,Yes,No,20,Yes,Fiber optic,Month-to-month,107.05,2172.05,No
5940-AHUHD,Male,No,No,1,Yes,Fiber optic,Month-to-month,70.6,70.6,Yes
6432-TWQLB,Male,Yes,No,5,Yes,Fiber optic,Month-to-month,85.4,401.1,Yes
4484-GLZOU,Female,Yes,No,52,Yes,Fiber optic,Month-to-month,105.05,5624.85,Yes
3179-GBRWV,Male,Yes,No,21,Yes,DSL,Month-to-month,64.95,1339.8,No
8645-KWHJO,Male,No,No,14,No,DSL,Month-to-month,55,771.95,No
4130-MZLCC,Female,No,No,5,Yes,DSL,Month-to-month,50.55,244.75,No
0314-TKOSI,Female,No,No,6,Yes,DSL,Month-to-month,55.15,322.9,No
8229-MYEJZ,Female,No,No,10,Yes,DSL,Month-to-month,51.2,498.25,No
2080-SRCDE,Female,No,Yes,1,Yes,No,Month-to-month,25.4,25.4,No
9577-WJVCQ,Female,No,No,68,Yes,DSL,Month-to-month,54.45,3687.75,No
9512-UIBFX,Male,Yes,Yes,18,Yes,Fiber optic,Month-to-month,95.15,1779.95,Yes
6202-DYYFX,Female,No,No,22,Yes,Fiber optic,One year,76,1783.6,No
3808-HFKDE,Female,No,No,20,Yes,DSL,Month-to-month,44.35,927.15,No
5583-SXDAG,Male,Yes,No,1,Yes,Fiber optic,Month-to-month,70,70,Yes
3488-PGMQJ,Male,No,No,8,Yes,Fiber optic,Month-to-month,74.5,606.55,Yes
3580-REOAC,Male,No,No,10,Yes,DSL,Month-to-month,44.85,435.4,Yes
7534-BFESC,Male,No,No,24,Yes,Fiber optic,Month-to-month,76.1,1712.7,Yes
3727-OWVYD,Male,No,No,35,Yes,DSL,One year,61.2,2021.2,No
2294-SALNE,Male,Yes,Yes,23,Yes,Fiber optic,One year,86.8,1940.8,No
4847-TAJYI,Female,No,No,6,Yes,Fiber optic,Month-to-month,89.35,567.8,No
1563-IWQEX,Female,No,No,12,Yes,No,Month-to-month,19.7,220.35,No
8203-XJZRC,Male,No,No,1,Yes,No,Month-to-month,20.25,20.25,No
6556-DBKZF,Female,Yes,Yes,71,Yes,Fiber optic,Two year,76.05,5436.45,No
6851-WEFYX,Male,Yes,No,35,Yes,Fiber optic,Month-to-month,100.8,3437.5,No
2985-JUUBZ,Male,Yes,Yes,40,Yes,DSL,Month-to-month,74.55,3015.75,No
6390-DSAZX,Female,No,Yes,1,Yes,Fiber optic,Month-to-month,73.6,73.6,Yes
0895-LMRSF,Male,No,No,23,Yes,DSL,One year,64.9,1509.8,No
8098-LLAZX,Female,No,No,4,Yes,Fiber optic,Month-to-month,95.45,396.1,Yes
8266-VBFQL,Male,No,No,4,Yes,Fiber optic,Month-to-month,90.4,356.65,No
8181-YHCMF,Female,Yes,Yes,68,No,DSL,Two year,60.3,4109,No
2240-HSJQD,Male,No,Yes,38,Yes,Fiber optic,Month-to-month,81.85,3141.7,No
1248-DYXUB,Male,Yes,Yes,52,Yes,No,Two year,24.8,1229.1,No
0265-EDXBD,Male,Yes,No,32,Yes,Fiber optic,Month-to-month,74.9,2303.35,Yes
4115-BNPJY,Male,Yes,Yes,29,Yes,DSL,Two year,75.55,2054.4,No
3167-SNQPL,Male,Yes,Yes,38,Yes,Fiber optic,Month-to-month,101.15,3741.85,No
4091-TVOCN,Male,No,Yes,48,Yes,DSL,One year,78.75,3682.45,No
